sourcename sourcetype first_login_usertype qudao_type channel_category credit_bin firstchuo edu chuomode message_count_default boappnum biglinetype usertype jdcredit_score umeng_score risk_score pretax final_score td_3m td_1m cmax omax vcard rph rpo rpc query1m hoverdue2y ooverdue2y coverdue2y repaybin citylevel_bin
广点通 app 发标未成交 APP APP信息流 5 2018-07-31 4无学历 wb 2 31 APP 2发标未成交 642.97 396 22 05k-08k 80 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
大额优借 app 发标未成交 APP APP贷超 2 2018-07-30 2本科 tb 4 12 APP 2发标未成交 NA 511 59 02k-05k 51 0 0 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
今日头条大额2 app 发标未成交 APP APP信息流 11 2018-08-13 4无学历 tb 0 7 APP 2发标未成交 NA 449 63 missing 56 11 7 NA NA NA NA NA NA NA NA NA NA 5 5线
大额广点通 app 发标未成交 APP APP信息流 2 2018-07-19 4无学历 tb 0 4 APP 2发标未成交 632.6 615 28 05k-08k 21 1 1 16000 2000 5 0 NA 7311 3 0 0 0 4 1线
百融白名单 app 发标未成交 APP APP贷超 -1 2018-07-30 3专科 xiaoe_m -1 0 M站 5纯新 NA 437 20 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3线
百融白名单 app 纯新 APP APP贷超 1 2018-08-02 4无学历 tb -1 0 APP 4有额未发标 NA 579 50 02k-05k 33 7 3 47000 26600 9 1382.502283105 4266 12440 1 0 0 0 2 2线
资产大额秋成科技 app 纯新 APP APP贷超 18 2018-08-06 4无学历 wb 0 1 APP 5纯新 NA 549 74 missing 4 1 0 NA NA NA NA NA NA NA NA NA NA 3 5线
广点通 app 发标未成交 APP APP信息流 10 2018-08-03 3专科 gjj -1 1 APP 2发标未成交 NA NA 94 missing 47 0 6 NA NA NA NA NA NA NA NA NA NA 1 4线
广点通 app 戳额无额度 APP APP信息流 13 2018-07-30 4无学历 tb 0 2 APP 1戳额无额度 NA 505 68 missing 2 1 0 NA NA NA NA NA NA NA NA NA NA 5 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 3 2018-07-30 4无学历 tb 1 6 APP 2发标未成交 630.41 379 48 missing 27 0 0 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
广点通 app 戳额无额度 APP APP信息流 10 2018-07-20 4无学历 tb 1 4 APP 1戳额无额度 NA 436 49 missing 27 0 0 NA NA NA NA NA NA NA NA NA NA 4 5线
原点时空大额 app 发标未成交 APP APP信息流 3 2018-07-30 3专科 tb 0 3 APP 2发标未成交 634.34 391 46 missing 0 0 0 NA NA NA NA NA NA NA NA NA NA 4 5线
今日头条大额 app 纯新 APP APP信息流 3 2018-07-31 4无学历 wb 0 3 APP 5纯新 642.85 639 73 05k-08k 33 2 2 NA NA NA NA NA NA NA NA NA NA 1 3线
广点通 app 戳额无额度 APP APP信息流 16 2018-08-03 4无学历 tb 1 12 APP 1戳额无额度 NA 552 91 missing 44 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 18 2018-08-05 4无学历 wb 0 7 APP 2发标未成交 634.14 507 52 missing 3 0 1 NA NA NA NA NA NA NA NA NA NA 5 4线
大额优借 app 成交 APP APP贷超 -1 2018-07-30 4无学历 xiaoe_m -1 0 M站 2成交 649.93 455 75 0-02k 8 0 0 NA NA NA NA NA NA NA NA NA NA 5 1线
今日头条大额 app 纯新 APP APP信息流 2 2018-08-08 4无学历 tb 2 5 APP 5纯新 650.44 651 23 missing 57 8 7 NA NA NA NA NA NA NA NA NA NA 4 4线
百融白名单 app 发标未成交 APP APP贷超 -1 2018-07-27 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 516 55 05k-08k 38 3 1 87496 69300 10 1463.884057971 3399 8693 2 3 0 5 1 3线
大额广点通 app 纯新 APP APP信息流 -1 2018-07-18 4无学历 xiaoe_m -1 0 M站 1戳额无额度 NA 341 40 02k-05k 60 12 9 NA NA NA NA NA NA NA NA NA NA 5 1线
资产大额秋成科技二 app 发标未成交 APP APP贷超 8 2018-07-24 4无学历 tb 0 2 APP 2发标未成交 639.33 443 61 0-02k 3 1 0 NA NA NA NA NA NA NA NA NA NA 2 3线
百融白名单 app 发标未成交 APP APP贷超 2 2018-07-27 4无学历 bb 1 6 APP 2发标未成交 696.3 514 78 missing 19 2 1 NA NA NA NA NA NA NA NA NA NA 3 4线
神马SEM大额 app 发标未成交 APP APP信息流 12 2018-07-18 4无学历 tb 0 8 APP 2发标未成交 667.11 700 50 08k-15k 30 1 1 NA NA NA NA NA NA NA NA NA NA 3 4线
大额优借 app 发标未成交 APP APP贷超 -1 2018-07-20 4无学历 xiaoe_m -1 0 M站 2发标未成交 655.25 456 18 02k-05k 37 2 0 NA NA NA NA NA NA NA NA NA NA 4 2线
广点通 app 发标未成交 APP APP信息流 5 2018-08-05 4无学历 wb 5 20 APP 2发标未成交 577.41 666 73 05k-08k 30 5 3 NA NA NA NA NA NA NA NA NA NA 5 4线
粉丝通凯美大额 app 发标未成交 APP APP信息流 3 2018-07-27 3专科 wb 0 11 APP 2发标未成交 NA NA 30 08k-15k 72 0 0 NA NA NA NA NA NA NA NA NA NA 2 2线
百融白名单 app 纯新 APP APP贷超 8 2018-08-08 4无学历 tb 4 6 APP 5纯新 NA 412 55 0-0 39 1 1 NA NA NA NA NA NA NA NA NA NA 5 5线
大额优借 app 发标未成交 APP APP贷超 -1 2018-07-22 3专科 xiaoe_m -1 0 M站 2发标未成交 605.74 538 61 02k-05k 77 12 0 NA NA NA NA NA NA NA NA NA NA 4 3线
神马SEM大额 app 纯新 APP APP信息流 -1 2018-08-06 4无学历 xiaoe_m -1 0 M站 1戳额无额度 NA 431 55 02k-05k 30 2 2 NA NA NA NA NA NA NA NA NA NA 3 2线
神马SEM大额 app 戳额无额度 APP APP信息流 11 2018-07-31 4无学历 tb 0 46 APP 1戳额无额度 NA 477 70 0-02k 67 0 9 NA NA NA NA NA NA NA NA NA NA 5 3线
神马SEM大额 M 发标未成交 APP M站信息流 18 2018-08-13 4无学历 tb 0 9 APP 2发标未成交 644.91 458 69 missing 66 12 11 NA NA NA NA NA NA NA NA NA NA 5 4线
广点通 app 发标未成交 APP APP信息流 19 2018-07-20 4无学历 wb 1 16 APP 2发标未成交 608.02 367 58 missing 78 22 0 NA NA NA NA NA NA NA NA NA NA 5 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-08-08 4无学历 tb 1 13 APP 2发标未成交 543.12 603 80 missing 90 19 0 NA NA NA NA NA NA NA NA NA NA 5 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-08-07 4无学历 tb 21 5 APP 2发标未成交 631.03 554 75 0-02k 77 1 0 NA NA NA NA NA NA NA NA NA NA 5 3线
亿玛dsp app 发标未成交 APP APP信息流 18 2018-08-13 4无学历 tb 0 12 APP 2发标未成交 639.95 418 66 0-0 34 0 0 NA NA NA NA NA NA NA NA NA NA 5 3线
广点通 app 发标未成交 APP APP信息流 16 2018-08-08 4无学历 tb 0 11 APP 2发标未成交 NA 470 53 missing 71 8 0 NA NA NA NA NA NA NA NA NA NA 5 5线
今日头条大额 app 发标未成交 APP APP信息流 5 2018-07-31 4无学历 wb 0 2 APP 2发标未成交 NA 565 66 02k-05k 10 1 1 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
广点通 app 发标未成交 APP APP信息流 1 2018-07-17 4无学历 wb 5 4 APP 2发标未成交 NA 717 43 02k-05k 30 5 3 NA NA NA NA NA NA NA NA NA NA 2 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 16 2018-07-20 4无学历 tb 0 2 APP 2发标未成交 597.29 630 45 missing 17 0 0 NA NA NA NA NA NA NA NA NA NA 5 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 2 2018-08-08 4无学历 tb 0 7 APP 2发标未成交 635.62 710 45 02k-05k 22 0 0 4000 40000 1 0 1430 NA 1 0 0 0 4 6线及以下
神马SEM大额 app 发标未成交 APP APP信息流 2 2018-07-26 4无学历 tb 5 6 APP 2发标未成交 NA 580 67 0-0 4 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
今日头条大额 app 发标未成交 APP APP信息流 4 2018-07-17 4无学历 wb 0 9 APP 2发标未成交 NA 792 89 05k-08k 68 11 10 NA NA NA NA NA NA NA NA NA NA 3 5线
亿玛dsp app 发标未成交 APP APP信息流 -1 2018-08-06 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 446 74 missing 47 7 7 NA NA NA NA NA NA NA NA NA NA 5 1线
广点通 app 纯新 APP APP信息流 2 2018-08-05 4无学历 wb 0 1 APP 2发标未成交 649.14 615 44 08k-15k 25 4 1 NA NA NA NA NA NA NA NA NA NA 1 1线
神马SEM大额 app 发标未成交 APP APP信息流 -1 2018-08-03 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 619 34 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 5 1线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-07-15 4无学历 wb 0 3 APP 2发标未成交 640.18 639 94 02k-05k 41 1 0 NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 2 2018-07-18 3专科 tb 0 13 APP 2发标未成交 547.51 510 19 02k-05k 3 0 0 NA NA NA NA NA NA NA NA NA NA 1 5线
今日头条大额 app 发标未成交 APP APP信息流 7 2018-08-09 4无学历 tb 0 3 APP 2发标未成交 NA 466 66 02k-05k 65 0 0 NA NA NA NA NA NA NA NA NA NA 4 5线
广点通 app 纯新 APP APP信息流 15 2018-07-31 4无学历 wb 0 1 APP 5纯新 640.92 609 75 05k-08k 57 0 1 NA NA NA NA NA NA NA NA NA NA 2 2线
今日头条大额 app 发标未成交 APP APP信息流 13 2018-08-13 4无学历 tb 0 7 APP 2发标未成交 633.31 NA 78 0-0 47 16 5 NA NA NA NA NA NA NA NA NA NA 3 4线
神马SEM大额 app 发标未成交 APP APP信息流 7 2018-07-25 4无学历 tb 0 3 APP 2发标未成交 625.99 407 66 missing 14 2 1 4500 1000 1 0 0 302 5 0 0 0 NA 3线
广点通 app 发标未成交 APP APP信息流 5 2018-08-05 4无学历 tb 0 3 APP 2发标未成交 NA 701 57 missing 27 5 0 -1 87710 -1 0 7981 NA 2 0 0 -1 4 4线
今日头条大额2 app 发标未成交 APP APP信息流 -1 2018-07-16 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 404 51 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 4 1线
大额优借 app 纯新 APP APP贷超 3 2018-08-04 4无学历 tb 2 7 APP 5纯新 NA 519 58 missing 52 8 1 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
广点通 app 发标未成交 APP APP信息流 10 2018-07-28 4无学历 tb 0 1 APP 2发标未成交 NA 350 85 0-0 36 3 0 NA NA NA NA NA NA NA NA NA NA 5 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-07-28 4无学历 tb 0 1 APP 2发标未成交 661.22 452 50 0-02k 29 0 1 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
资产大额秋成科技 app 发标未成交 APP APP贷超 3 2018-08-02 4无学历 gjj 1 21 APP 2发标未成交 574.84 563 35 02k-05k 90 0 3 NA NA NA NA NA NA NA NA NA NA 5 1线
百融白名单 app 纯新 APP APP贷超 13 2018-07-30 4无学历 tb -1 0 APP 5纯新 686.46 795 37 02k-05k 30 0 0 NA NA NA NA NA NA NA NA NA NA 2 4线
广点通 app 发标未成交 APP APP信息流 9 2018-07-27 4无学历 wb 0 6 APP 2发标未成交 641.66 345 69 0-0 81 0 7 NA NA NA NA NA NA NA NA NA NA 5 3线
今日头条大额 app 纯新 APP APP信息流 13 2018-08-05 4无学历 tb 6 2 APP 2发标未成交 NA 500 57 missing 0 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
今日头条大额 app 发标未成交 APP APP信息流 3 2018-07-19 4无学历 wb 0 9 APP 2发标未成交 574.62 595 38 02k-05k 66 0 0 NA NA NA NA NA NA NA NA NA NA 5 3线
百融白名单 app 发标未成交 APP APP贷超 11 2018-07-29 4无学历 wb 0 7 APP 2发标未成交 683.11 715 51 missing 36 0 0 NA NA NA NA NA NA NA NA NA NA 2 5线
大额广点通 app 发标未成交 APP APP信息流 5 2018-07-19 4无学历 tb 0 4 APP 2发标未成交 636.17 778 73 0-02k 53 0 3 NA NA NA NA NA NA NA NA NA NA 2 2线
今日头条大额 app 发标未成交 APP APP信息流 18 2018-07-17 4无学历 wb 0 2 APP 2发标未成交 NA 577 62 02k-05k 40 5 5 NA NA NA NA NA NA NA NA NA NA 4 2线
神马SEM大额 app 发标未成交 APP APP信息流 4 2018-07-16 4无学历 wb 0 21 APP 2发标未成交 604.05 547 80 missing 75 29 0 NA NA NA NA NA NA NA NA NA NA 5 4线
大额优借 app 发标未成交 APP APP贷超 -1 2018-07-20 4无学历 xiaoe_m -1 0 M站 2发标未成交 635.39 NA 75 05k-08k 21 0 2 NA NA NA NA NA NA NA NA NA NA 4 1线
资产大额秋成科技 app 戳额无额度 APP APP贷超 1 2018-07-20 4无学历 wb 1 3 APP 4有额未发标 NA 609 76 missing 6 1 1 NA NA NA NA NA NA NA NA NA NA 2 6线及以下
广点通 app 发标未成交 APP APP信息流 4 2018-08-02 4无学历 wb 2 1 APP 2发标未成交 634.46 670 86 missing 2 0 0 NA NA NA NA NA NA NA NA NA NA 2 3线
原点时空大额 app 发标未成交 APP APP信息流 -1 2018-07-22 4无学历 xiaoe_m -1 0 M站 2发标未成交 643.6 575 82 0-02k 41 0 0 NA NA NA NA NA NA NA NA NA NA 5 3线
陌陌信息流大额 app 发标未成交 APP APP信息流 12 2018-08-07 4无学历 tb 0 2 APP 2发标未成交 NA 686 59 missing 6 0 0 NA NA NA NA NA NA NA NA NA NA 3 2线
广点通 app 发标未成交 APP APP信息流 17 2018-07-15 4无学历 wb 1 18 APP 2发标未成交 NA 338 48 missing 12 0 0 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
百融白名单 app 纯新 APP APP贷超 1 2018-07-15 4无学历 tb 0 8 APP 1戳额无额度 634.09 778 26 02k-05k 30 4 4 NA NA NA NA NA NA NA NA NA NA 5 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-08-07 4无学历 tb 3 10 APP 2发标未成交 634.95 505 36 0-0 56 13 10 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
资产大额秋成科技 app 发标未成交 APP APP贷超 3 2018-08-05 4无学历 tb 0 3 APP 2发标未成交 642.32 774 34 0-0 26 0 0 30000 23400 9 0 1803 5260 1 0 0 0 5 4线
今日头条大额2 app 发标未成交 APP APP信息流 1 2018-08-08 4无学历 wb 0 6 APP 2发标未成交 738.98 495 62 missing 31 0 0 NA NA NA NA NA NA NA NA NA NA 3 5线
亿玛dsp app 发标未成交 APP APP信息流 17 2018-08-07 4无学历 wb -1 0 APP 2发标未成交 NA 688 63 missing 38 0 2 NA NA NA NA NA NA NA NA NA NA 4 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 17 2018-08-11 4无学历 tb 0 3 APP 2发标未成交 NA 507 60 missing 50 8 0 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
神马SEM大额 app 发标未成交 APP APP信息流 15 2018-07-27 4无学历 bb 0 11 APP 2发标未成交 NA 420 48 02k-05k 12 0 4 -1 5101 -1 0 289 NA 1 0 0 -1 NA 5线
今日头条大额 app 发标未成交 APP APP信息流 7 2018-07-22 4无学历 bb 0 2 APP 2发标未成交 NA NA 54 missing 19 0 0 NA NA NA NA NA NA NA NA NA NA 3 3线
广点通 app 发标未成交 APP APP信息流 3 2018-08-12 4无学历 gjj 0 3 APP 2发标未成交 644.8 703 38 0-0 41 0 1 56762 3e+05 21 4245.8235294118 32959 36297 2 0 2 4 2 4线
今日头条大额2 app 发标未成交 APP APP信息流 9 2018-08-06 4无学历 wb 0 6 APP 2发标未成交 634.22 487 46 08k-15k 7 0 0 NA NA NA NA NA NA NA NA NA NA 3 3线
今日头条大额 app 纯新 APP APP信息流 13 2018-07-21 4无学历 wb 0 0 APP 1戳额无额度 NA NA 55 missing 12 0 0 NA NA NA NA NA NA NA NA NA NA 3 3线
今日头条大额 app 发标未成交 APP APP信息流 1 2018-07-19 4无学历 tb 4 4 APP 2发标未成交 599.67 727 46 missing 19 0 0 NA NA NA NA NA NA NA NA NA NA 3 4线
百融白名单 app 发标未成交 APP APP贷超 -1 2018-07-27 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 625 30 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3线
亿玛dsp app 发标未成交 APP APP信息流 -1 2018-07-18 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 410 83 02k-05k 35 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-07-24 4无学历 tb 0 1 APP 2发标未成交 NA 603 55 missing 30 3 2 NA NA NA NA NA NA NA NA NA NA 2 3线
广点通 app 发标未成交 APP APP信息流 4 2018-08-01 4无学历 wb 0 11 APP 2发标未成交 648.51 650 53 05k-08k 34 0 1 NA NA NA NA NA NA NA NA NA NA 5 4线
广点通 app 发标未成交 APP APP信息流 4 2018-08-07 4无学历 wb 1 18 APP 2发标未成交 627.34 481 53 missing 67 7 2 NA NA NA NA NA NA NA NA NA NA 4 5线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-07-31 4无学历 wb 0 8 APP 2发标未成交 NA 413 20 02k-05k 40 2 0 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
广点通 app 发标未成交 APP APP信息流 -1 2018-07-18 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 318 72 missing 53 2 0 NA NA NA NA NA NA NA NA NA NA 5 4线
大额广点通 app 戳额无额度 APP APP信息流 -1 2018-07-23 4无学历 xiaoe_m -1 0 M站 1戳额无额度 601.99 499 61 02k-05k 47 0 0 NA NA NA NA NA NA NA NA NA NA 5 2线
百融白名单 app 发标未成交 APP APP贷超 7 2018-08-07 4无学历 tb 4 5 APP 2发标未成交 NA 481 50 0-02k 11 0 0 NA NA NA NA NA NA NA NA NA NA 2 6线及以下
广点通 app 发标未成交 APP APP信息流 -1 2018-08-07 4无学历 xiaoe_m -1 0 M站 2发标未成交 628.32 582 72 0-02k 29 3 0 NA NA NA NA NA NA NA NA NA NA 5 2线
资产大额秋成科技二 app 发标未成交 APP APP贷超 2 2018-08-07 2本科 bb_m 1 4 M站 2发标未成交 601.24 650 25 0-0 42 0 0 NA NA NA NA NA NA NA NA NA NA NA 2线
广点通 app 发标未成交 APP APP信息流 8 2018-07-20 4无学历 wb 0 16 APP 2发标未成交 686.53 346 49 missing 56 9 0 NA NA NA NA NA NA NA NA NA NA 5 5线
原点时空大额 app 纯新 APP APP信息流 1 2018-07-16 3专科 wb 0 5 APP 4有额未发标 732.77 836 65 08k-15k 27 1 1 269700 1550000 13 0 1002 63858 4 0 0 1 2 4线
广点通 app 戳额无额度 APP APP信息流 1 2018-07-17 4无学历 wb 1 3 APP 1戳额无额度 NA 348 48 05k-08k 76 16 7 NA NA NA NA NA NA NA NA NA NA 5 5线
今日头条大额 app 纯新 APP APP信息流 -1 2018-08-09 4无学历 xiaoe_m -1 0 M站 1戳额无额度 738.56 580 31 missing 24 0 0 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
百融白名单 app 发标未成交 APP APP贷超 1 2018-07-15 2本科 gjj 0 5 APP 2发标未成交 647.57 NA 69 02k-05k 42 0 4 NA NA NA NA NA NA NA NA NA NA 1 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 3 2018-08-03 4无学历 tb 3 4 APP 2发标未成交 NA 468 61 08k-15k 13 3 0 NA NA NA NA NA NA NA NA NA NA 2 4线
广点通 app 纯新 APP APP信息流 4 2018-08-09 4无学历 tb 0 2 APP 5纯新 NA 388 66 0-02k 16 1 1 18000 45800 16 0 1372 6769 1 0 0 1 3 4线
今日头条大额 app 纯新 APP APP信息流 1 2018-07-18 3专科 tb 0 1 APP 5纯新 644.21 782 37 02k-05k 42 3 0 120000 1e+05 8 0 10218 2883 2 0 0 1 1 2线
广点通 app 发标未成交 APP APP信息流 5 2018-07-28 4无学历 wb 0 1 APP 2发标未成交 NA 559 47 05k-08k 13 2 1 20000 12000 5 0 4781 4416 0 0 0 0 3 3线
广点通 app 发标未成交 APP APP信息流 11 2018-07-23 4无学历 wb 1 9 APP 2发标未成交 NA 567 75 0-02k 90 0 15 NA NA NA NA NA NA NA NA NA NA 5 2线
广点通 app 发标未成交 APP APP信息流 12 2018-07-26 4无学历 wb 0 3 APP 2发标未成交 635.85 412 78 missing 15 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
原点时空大额 app 纯新 APP APP信息流 1 2018-07-16 3专科 wb 0 1 APP 4有额未发标 630.62 472 25 missing 13 1 0 12000 45000 12 1272.2235294118 4888 1028 3 0 0 0 1 5线
原点时空大额 app 发标未成交 APP APP信息流 1 2018-07-24 4无学历 tb 2 2 APP 2发标未成交 643.17 676 73 02k-05k 0 0 0 NA NA NA NA NA NA NA NA NA NA 3 1线
原点时空大额 app 发标未成交 APP APP信息流 4 2018-07-22 4无学历 tb 0 17 APP 2发标未成交 644.43 607 81 02k-05k 42 0 0 NA NA NA NA NA NA NA NA NA NA 5 1线
大额广点通 app 发标未成交 APP APP信息流 -1 2018-07-21 3专科 xiaoe_m -1 0 M站 2发标未成交 655.7 740 42 02k-05k 15 0 0 NA NA NA NA NA NA NA NA NA NA 2 3线
神马SEM大额 app 发标未成交 APP APP信息流 6 2018-08-08 3专科 wb 0 4 APP 2发标未成交 640.52 374 63 0-0 34 5 2 16000 9000 4 0 1180 3833 5 0 0 0 1 4线
今日头条大额 app 发标未成交 APP APP信息流 5 2018-08-10 4无学历 wb -1 7 APP 2发标未成交 631.26 719 42 missing 22 3 3 NA NA NA NA NA NA NA NA NA NA 2 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-07-20 4无学历 tb 0 13 APP 2发标未成交 607.15 488 51 02k-05k 65 11 4 NA NA NA NA NA NA NA NA NA NA 3 1线
广点通 app 发标未成交 APP APP信息流 -1 2018-07-26 4无学历 xiaoe_m -1 0 M站 2发标未成交 626.32 320 72 missing 48 1 1 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-08-02 4无学历 wb 0 1 APP 2发标未成交 644.46 513 37 missing 41 0 1 69000 28000 29 0 NA 30147 6 0 0 0 2 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 10 2018-07-24 4无学历 bb 0 8 APP 2发标未成交 622.86 523 53 02k-05k 58 7 0 NA NA NA NA NA NA NA NA NA NA 4 5线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-08-12 2本科 wb -1 3 APP 2发标未成交 NA 372 34 05k-08k 34 0 0 20000 30000 2 764.375 1784 NA 3 0 2 0 3 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 10 2018-08-03 4无学历 wb 0 10 APP 2发标未成交 NA NA 38 missing 22 2 2 NA NA NA NA NA NA NA NA NA NA 4 5线
广点通 app 发标未成交 APP APP信息流 2 2018-08-03 4无学历 tb 1 3 APP 2发标未成交 638.24 575 58 missing 15 0 0 NA NA NA NA NA NA NA NA NA NA 1 3线
大额广点通1 app 发标未成交 APP APP信息流 -1 2018-08-01 4无学历 xiaoe_m 0 3 M站 2发标未成交 NA 483 52 missing 19 0 0 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
原点时空大额 app 纯新 APP APP信息流 4 2018-07-23 2本科 tb -1 16 APP 5纯新 594.84 833 39 02k-05k 16 3 3 NA NA NA NA NA NA NA NA NA NA 2 3线
百融白名单 app 发标未成交 APP APP贷超 8 2018-08-07 4无学历 wb -1 0 APP 2发标未成交 NA 658 66 02k-05k 44 12 0 NA NA NA NA NA NA NA NA NA NA 1 4线
广点通 app 发标未成交 APP APP信息流 5 2018-07-20 4无学历 tb -1 7 APP 2发标未成交 606.45 522 41 05k-08k 60 3 1 NA NA NA NA NA NA NA NA NA NA 5 4线
亿玛dsp app 发标未成交 APP APP信息流 9 2018-08-12 4无学历 gjj 1 60 APP 2发标未成交 549.19 340 63 08k-15k 84 0 8 NA NA NA NA NA NA NA NA NA NA 5 5线
亿玛dsp app 发标未成交 APP APP信息流 15 2018-07-23 4无学历 wb -1 3 APP 2发标未成交 NA 456 80 0-02k 77 0 0 NA NA NA NA NA NA NA NA NA NA 5 5线
原点时空大额 app 发标未成交 APP APP信息流 -1 2018-07-29 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 344 65 0-0 29 2 1 NA NA NA NA NA NA NA NA NA NA 5 5线
今日头条大额 app 纯新 APP APP信息流 16 2018-07-30 4无学历 wb 0 5 APP 5纯新 NA 483 69 02k-05k 25 0 0 NA NA NA NA NA NA NA NA NA NA 4 5线
陌陌信息流大额 app 发标未成交 APP APP信息流 -1 2018-07-24 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 399 55 missing 7 1 1 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
大额广点通 app 戳额无额度 APP APP信息流 -1 2018-07-16 4无学历 xiaoe_m -1 0 M站 1戳额无额度 NA NA 62 02k-05k 3 0 0 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
原点时空大额 app 发标未成交 APP APP信息流 2 2018-07-15 4无学历 wb -1 1 APP 2发标未成交 629.09 514 47 missing 20 0 0 28000 150000 13 0 5452 3359 1 0 0 2 4 4线
原点时空大额 app 发标未成交 APP APP信息流 1 2018-07-17 3专科 gjj 0 12 APP 2发标未成交 643.23 591 59 02k-05k 57 8 0 NA NA NA NA NA NA NA NA NA NA 3 5线
广点通 app 纯新 APP APP信息流 3 2018-07-31 4无学历 wb 0 3 APP 4有额未发标 645.09 NA 28 05k-08k 27 0 0 90000 38000 14 0 4105 24261 3 0 0 0 1 6线及以下
广点通 app 戳额无额度 APP APP信息流 -1 2018-08-01 4无学历 xiaoe_m 6 15 M站 1戳额无额度 NA 411 45 missing 24 0 0 NA NA NA NA NA NA NA NA NA NA 4 5线
资产大额秋成科技 app 发标未成交 APP APP贷超 3 2018-07-31 4无学历 tb 0 4 APP 2发标未成交 637.75 406 58 02k-05k 20 3 1 NA NA NA NA NA NA NA NA NA NA 5 5线
原点时空大额 app 发标未成交 APP APP信息流 12 2018-07-20 4无学历 tb 0 1 APP 2发标未成交 666 NA 19 missing 25 2 1 NA NA NA NA NA NA NA NA NA NA 4 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 -1 2018-07-23 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 370 63 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 -1 2018-07-31 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 667 58 missing NA NA NA 7000 20000 4 0 485 265 5 0 0 3 5 1线
资产大额秋成科技 app 发标未成交 APP APP贷超 -1 2018-07-27 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 439 66 missing NA NA NA -1 4000 -1 927.1363636364 635 NA 5 0 0 -1 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-08-07 3专科 wb 0 3 APP 2发标未成交 631.5 547 21 02k-05k 50 5 0 NA NA NA NA NA NA NA NA NA NA 1 4线
广点通 app 发标未成交 APP APP信息流 4 2018-08-04 4无学历 tb 0 3 APP 2发标未成交 626.45 703 66 missing 44 0 0 22000 8000 2 0 0 10550 7 0 4 3 2 6线及以下
